epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,762.865,0.0108,1.54106,0.91602,0.58043,0.2174,0.23187,0.1312,0.01042,1.43416,0.90612,0.0683484,0.00166587,0.00166587
2,1492.61,0.01045,1.37956,0.90486,0.63046,0.25899,0.30734,0.19215,0.00968,1.21066,0.84441,0.0366457,0.00329649,0.00329649
3,2221.72,0.00997,1.2409,0.86787,0.59873,0.28163,0.32966,0.20502,0.00942,1.10808,0.83282,0.00480115,0.00478526,0.00478526
4,2945.22,0.00957,1.1556,0.84699,0.5382,0.35111,0.35793,0.22457,0.00889,0.97952,0.79476,0.00452732,0.00452732,0.00452732
5,3652.53,0.00924,1.08528,0.82675,0.67374,0.35648,0.39214,0.25003,0.00859,0.92195,0.77928,0.0041811,0.0041811,0.0041811
6,4338.64,0.0091,1.00848,0.81045,0.60687,0.37357,0.37898,0.23694,0.0087,0.94119,0.78376,0.0037625,0.0037625,0.0037625
7,5020,0.00887,0.96442,0.79407,0.62307,0.38332,0.40019,0.25534,0.00845,0.89886,0.76814,0.00328982,0.00328982,0.00328982
8,5700.69,0.00861,0.91216,0.78141,0.66421,0.38704,0.41555,0.26613,0.00838,0.87818,0.76084,0.00278371,0.00278371,0.00278371
9,6379.25,0.00844,0.86567,0.76963,0.65405,0.40913,0.42541,0.27748,0.00815,0.8361,0.75039,0.00226629,0.00226629,0.00226629
10,7058.45,0.00824,0.8338,0.75681,0.68548,0.41247,0.43505,0.28107,0.00805,0.80884,0.73897,0.00176018,0.00176018,0.00176018
11,7738.7,0.00806,0.79687,0.74717,0.66056,0.43733,0.44594,0.291,0.00793,0.78777,0.73267,0.0012875,0.0012875,0.0012875
12,8435.52,0.00796,0.77178,0.74015,0.74355,0.41456,0.45436,0.29691,0.00785,0.76992,0.73114,0.000868902,0.000868902,0.000868902
13,9122.34,0.0078,0.74481,0.73174,0.72102,0.4278,0.45861,0.30066,0.00778,0.7588,0.72425,0.000522683,0.000522683,0.000522683
14,9820.41,0.00771,0.72751,0.72544,0.7393,0.42799,0.46355,0.30366,0.00776,0.75082,0.72351,0.000263975,0.000263975,0.000263975
15,10514.6,0.00766,0.71305,0.72241,0.7299,0.4316,0.47098,0.3112,0.00774,0.74675,0.72167,0.000104085,0.000104085,0.000104085
