epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,748.359,0.0108,1.54106,0.91602,0.58043,0.2174,0.23187,0.1312,0.01042,1.43416,0.90612,0.0683484,0.00166587,0.00166587
2,1474.17,0.01042,1.37541,0.90327,0.62238,0.2531,0.28132,0.16994,0.00969,1.20488,0.85186,0.0366615,0.00331223,0.00331223
3,2193.6,0.01001,1.24763,0.87075,0.57843,0.27959,0.32967,0.20451,0.00929,1.10209,0.82765,0.00489398,0.00487809,0.00487809
4,2911.83,0.00959,1.1612,0.84771,0.63379,0.34958,0.3812,0.23161,0.00896,1.00624,0.8009,0.00473024,0.00473024,0.00473024
5,3629.86,0.00932,1.10023,0.83208,0.59697,0.36785,0.37167,0.23427,0.00871,0.95049,0.7865,0.00452732,0.00452732,0.00452732
6,4345.57,0.0091,1.04421,0.81691,0.61563,0.3834,0.39397,0.24874,0.00853,0.90826,0.7707,0.00427509,0.00427509,0.00427509
7,5062.02,0.00898,1.00619,0.80832,0.65132,0.33736,0.40649,0.26335,0.00832,0.87189,0.7647,0.00397977,0.00397977,0.00397977
8,5778.93,0.00872,0.96662,0.79549,0.61809,0.41864,0.42152,0.27276,0.00818,0.83818,0.75348,0.00364863,0.00364863,0.00364863
9,6497.05,0.00862,0.93742,0.78666,0.66858,0.40252,0.42892,0.27909,0.00809,0.83251,0.74386,0.00328982,0.00328982,0.00328982
10,7215.71,0.00848,0.90935,0.7817,0.69055,0.41983,0.44501,0.29296,0.008,0.80187,0.74101,0.00291218,0.00291218,0.00291218
11,7917.71,0.00835,0.85549,0.76325,0.62847,0.43903,0.43601,0.28508,0.00796,0.79911,0.73755,0.002525,0.002525,0.002525
12,8619.86,0.00822,0.82251,0.75604,0.68407,0.43057,0.44337,0.28642,0.0079,0.77997,0.73396,0.00213782,0.00213782,0.00213782
13,9320.26,0.00808,0.79483,0.74803,0.73383,0.42575,0.45481,0.29806,0.00783,0.76053,0.7289,0.00176018,0.00176018,0.00176018
14,10021.4,0.00797,0.7731,0.73953,0.74307,0.42962,0.4662,0.30901,0.00778,0.74913,0.72247,0.00140137,0.00140137,0.00140137
15,10722.1,0.00785,0.75,0.73546,0.73905,0.43511,0.46194,0.3018,0.00773,0.73799,0.72297,0.00107023,0.00107023,0.00107023
16,11423.6,0.00774,0.7285,0.72913,0.7504,0.43279,0.46738,0.30655,0.00768,0.73095,0.71799,0.000774911,0.000774911,0.000774911
17,12124.4,0.00765,0.7131,0.72071,0.76142,0.43403,0.47202,0.31017,0.00765,0.72285,0.71549,0.000522683,0.000522683,0.000522683
18,12825.1,0.00757,0.69816,0.71901,0.76114,0.43364,0.47808,0.3138,0.00763,0.72004,0.71487,0.000319759,0.000319759,0.000319759
19,13525.5,0.00751,0.68613,0.71629,0.76047,0.43488,0.47613,0.31257,0.00761,0.71553,0.71379,0.000171135,0.000171135,0.000171135
20,14226.6,0.0075,0.68537,0.71551,0.77071,0.43453,0.4748,0.31102,0.00761,0.71419,0.71336,8.04714e-05,8.04714e-05,8.04714e-05
